Unnamed: 0,characters,words,sentences,avg_word_length_x,avg_sentence_length_x,Alcides,Amor,Apolo,Argos,Cerbero,Cintia,Climene,Creta,Cupido,Dafne,Diana,Délo,Europa,Faetón,Febo,Fitón,Fénix,Galatea,Helicona,Hércules,Júpiter,Marte,Minerva,Narciso,Neptuno,Olimpo,Orfeo,Palas,Parnaso,Siringa,Tempe,Tetis,Venus,lexical_diversity,avg_word_length_y,syllable_density,readability_score,vowel_density,rhyme_diversity,avg_syllables_per_line,syllable_variance,most_common_meter,divine,love,nature,light,transformation,death,beauty,avg_sentence_length_y,sentence_length_variance,function_word_frequency,punctuation_frequency,uppercase_frequency,freq_a,freq_e,freq_i,freq_o,freq_u
Barahona_acteon,51273.0,9410.0,366.0,4.439532412327312,25.7103825136612,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0.2078639744952178,4.439532412327312,1.7281615302869289,55.64603932567961,0.3619029012405978,1.0,16262.0,0.0,16262.0,0.0029755579171094,0.006163655685441,0.0095642933049946,0.0023379383634431,0.0006376195536663,0.0023379383634431,0.0034006376195536,25.7103825136612,141.53907253127892,0.257173219978746,0.0336035948031649,0.0100029305460584,0.094598026765654,0.1012015238839503,0.0353619224382143,0.07299013382827,0.0385269121813031
Barahona_vertumno,30037.0,5530.0,236.0,4.420614828209765,23.43220338983051,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0.2267631103074141,4.420614828209765,1.7265822784810128,57.23749800778498,0.3658381984987489,1.0,9548.0,0.0,9548.0,0.0036166365280289,0.0104882459312839,0.010126582278481,0.0025316455696202,0.0,0.0014466546112115,0.0068716094032549,23.43220338983051,68.10981039931055,0.2683544303797468,0.0323603002502085,0.0100750625521267,0.091743119266055,0.1031526271893244,0.0378315262718932,0.0736613844870725,0.0406338615512927
Bermudez_narciso,173307.0,28384.0,728.0,5.079340473506201,38.989010989010985,0,292,4,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,16,0,0,74,0,2,0,0,2,0,0,2,2,0.1728790868094701,5.079340473506201,1.986612175873732,26.11136713217539,0.3632812726377097,1.0,56388.0,0.0,56388.0,0.0092305524239007,0.0173337091319053,0.0262119503945885,0.0057074408117249,0.0,0.004086809470124,0.0113444193912063,38.989010989010985,301.3763056997947,0.2064543404735062,0.0363826026484309,0.0079279070441308,0.1013705774970299,0.0992263336327547,0.0518327489785865,0.0654863666657007,0.0298223754744863
Bocangel_leandro,59999.0,10822.0,394.0,4.531879504712623,27.467005076142133,2,70,4,2,0,0,0,0,6,0,0,0,4,0,6,0,2,0,0,0,0,2,0,6,12,0,2,0,0,0,0,0,20,0.2139160968397708,4.531879504712623,1.82849750508224,47.47929370314421,0.3663242295164119,1.0,19788.0,0.0,19788.0,0.003326557013491,0.0142302716688227,0.0192201071890593,0.0075771576418406,0.0001848087229717,0.0049898355202365,0.0027721308445758,27.467005076142133,213.4682161354325,0.2626131953428202,0.0333750939614131,0.0111918483253988,0.0945126534703082,0.1089117180322392,0.0447673933015952,0.0686878810657312,0.0347114340599682
Carrillo_acis,18171.0,3286.0,96.0,4.495435179549604,34.229166666666664,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2495435179549604,4.495435179549604,1.7790626902008522,42.2831444638872,0.3646231378412803,1.0,5846.0,0.0,5846.0,0.0012172854534388,0.0133901399878271,0.017650639074863,0.0048691418137553,0.0,0.0024345709068776,0.0152160681679853,34.229166666666664,292.2391493055556,0.2422398052343274,0.0336711524616492,0.0080855070055934,0.0933709918591128,0.1003488951653098,0.0396522124383895,0.0777537796976241,0.0368832031898986
Cetina_amorpsique,18763.0,3482.0,138.0,4.361286616886846,25.231884057971016,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0.2337736932797243,4.361286616886846,1.736358414704193,52.93974394192912,0.3640649274120105,1.0,6046.0,0.0,6046.0,0.0080413555427915,0.012636415852958,0.0080413555427915,0.0028719126938541,0.0,0.0051694428489373,0.0074669730040206,25.231884057971016,151.22159210249947,0.2711085582998276,0.0260352493705469,0.0149997321476402,0.107462366743451,0.1071409439117158,0.0366422028178068,0.0643917072909412,0.0370707665934536
Espinosa_genil,17547.0,3076.0,90.0,4.693758127438231,34.17777777777778,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,2,2,0,0,0,0,0,2,0,0.2665799739921977,4.693758127438231,1.8088426527958388,38.68045365882495,0.3519671101467481,1.0,5564.0,0.0,5564.0,0.0110533159947984,0.0084525357607282,0.0169050715214564,0.0084525357607282,0.0,0.0006501950585175,0.0039011703511053,34.17777777777778,296.7822222222222,0.2496749024707412,0.0298064295095072,0.009935476503169,0.095243533375207,0.0962713412893279,0.0452235482213213,0.0710329469536915,0.0304916347855878
Gongora_piramotisbe,12805.0,2246.0,67.0,4.683437221727516,33.52238805970149,0,6,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,2,0.5387355298308103,4.683437221727516,1.868210151380232,37.26704425383178,0.3628956439987464,1.0,4196.0,0.0,4196.0,0.0035618878005342,0.0044523597506678,0.0089047195013357,0.0017809439002671,0.0,0.0026714158504007,0.0013357079252003,33.52238805970149,494.9855201603921,0.2577916295636687,0.0334534628643058,0.0104966316778944,0.0763083672829833,0.0908806016922594,0.0417580695706675,0.0877467878408022,0.0506894390473205
Gongora_polifemo,36239.0,6484.0,174.0,4.579888957433683,37.26436781609196,0,20,0,2,0,0,0,0,8,0,0,0,2,0,2,0,0,20,0,0,2,0,0,0,4,0,0,0,0,0,0,2,6,0.2444478716841455,4.579888957433683,1.8198642813078347,37.51894612379192,0.3607617678763923,1.0,11800.0,0.0,11800.0,0.0018507094386181,0.0049352251696483,0.0160394818013571,0.0046267735965453,0.0,0.000925354719309,0.0049352251696483,37.26436781609196,288.95309816356195,0.2368908081431215,0.0380331131319273,0.00945299759529,0.0995052378451588,0.0951933442052019,0.0401890599519058,0.0730810691284999,0.0382542358826943
Hurtadodemendoza_fabulaadonis,57751.0,10526.0,290.0,4.463803914117424,36.296551724137935,0,34,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0.1977959338780163,4.463803914117424,1.776173285198556,39.96588027366022,0.3634087391977187,1.0,18696.0,0.0,18696.0,0.0055101653049591,0.0081702451073532,0.0108303249097472,0.002850085502565,0.0,0.003610108303249,0.003610108303249,36.296551724137935,320.78506539833523,0.2760782823484704,0.0274034532524212,0.0082401821879943,0.0995287857974996,0.1087096381561788,0.0371754968614699,0.0721253325450783,0.0323764149467058
