filename,sentence,noun,adjective,distance
Barahona_acteon.xml,"¡Oh tú, que, para mi mal, sola en el mundo naciste, bella, cruel, desleal, sabia, y que de todo fuiste modelo y original, oye lo que cantar quiero: verás en ciervo ligero mudado al señor de Tebas, do el tormento que en mí pruebas fue figurado primero.",mal,sola,2
Barahona_acteon.xml,"¡Oh tú, que, para mi mal, sola en el mundo naciste, bella, cruel, desleal, sabia, y que de todo fuiste modelo y original, oye lo que cantar quiero: verás en ciervo ligero mudado al señor de Tebas, do el tormento que en mí pruebas fue figurado primero.",ciervo,mudado,2
Barahona_acteon.xml,"Una muy copiosa fuente muy alegre y fresca está en la tierra cuya gente le nació a Cadmo de la quijada de una serpiente, de un monte jamás rozado, de sangre nunca manchado, cercada al Austro y Poniente, descubierta al sol de Oriente y cubierta al cierzo helado.",fuente,alegre,2
Barahona_acteon.xml,"Una muy copiosa fuente muy alegre y fresca está en la tierra cuya gente le nació a Cadmo de la quijada de una serpiente, de un monte jamás rozado, de sangre nunca manchado, cercada al Austro y Poniente, descubierta al sol de Oriente y cubierta al cierzo helado.",monte,rozado,2
Barahona_acteon.xml,"Una muy copiosa fuente muy alegre y fresca está en la tierra cuya gente le nació a Cadmo de la quijada de una serpiente, de un monte jamás rozado, de sangre nunca manchado, cercada al Austro y Poniente, descubierta al sol de Oriente y cubierta al cierzo helado.",sangre,manchado,2
Barahona_acteon.xml,"Una muy copiosa fuente muy alegre y fresca está en la tierra cuya gente le nació a Cadmo de la quijada de una serpiente, de un monte jamás rozado, de sangre nunca manchado, cercada al Austro y Poniente, descubierta al sol de Oriente y cubierta al cierzo helado.",serpiente,cercada,13
Barahona_acteon.xml,"Allí, gentil, largo y liso, está el árbol que guardó el nombre de Cipariso, y el otro do se escondió Dafnes del pastor de Anfriso, y aquel árbol que parece que por Tisbe se entristece, la fruta en sangre bañada, que a la morisca Granada con sus hojas enriquece.",fruta,bañada,3
Barahona_acteon.xml,"De una lucha entre ellos brava con el que entonces soplaba siendo cada cual herido, un mormollo y un ruido dulcísimo se escuchaba.",lucha,brava,3
Barahona_acteon.xml,"El sol, en ellos hiriendo, iba de varios olores otro nuevo produciendo, y de diversos colores otro mejor componiendo; y así, el viento, disfrazado de un nuevo color, mezclado nuevo olor, nuevo ruido, hiciera alegre el sentido del más triste enamorado.",colores,mejor,2
Barahona_acteon.xml,"El sol, en ellos hiriendo, iba de varios olores otro nuevo produciendo, y de diversos colores otro mejor componiendo; y así, el viento, disfrazado de un nuevo color, mezclado nuevo olor, nuevo ruido, hiciera alegre el sentido del más triste enamorado.",viento,disfrazado,2
Barahona_acteon.xml,"El sol, en ellos hiriendo, iba de varios olores otro nuevo produciendo, y de diversos colores otro mejor componiendo; y así, el viento, disfrazado de un nuevo color, mezclado nuevo olor, nuevo ruido, hiciera alegre el sentido del más triste enamorado.",ruido,mezclado,5
Barahona_acteon.xml,"El sol, en ellos hiriendo, iba de varios olores otro nuevo produciendo, y de diversos colores otro mejor componiendo; y así, el viento, disfrazado de un nuevo color, mezclado nuevo olor, nuevo ruido, hiciera alegre el sentido del más triste enamorado.",sentido,enamorado,4
Barahona_acteon.xml,"Y así la tierra, cavada del agua en ella quebrada, hecha pequeña laguna, no se vio en edad alguna del todo en lumbre bañada.",tierra,cavada,2
Barahona_acteon.xml,"Y así la tierra, cavada del agua en ella quebrada, hecha pequeña laguna, no se vio en edad alguna del todo en lumbre bañada.",agua,quebrada,3
Barahona_acteon.xml,"Va desde aquí la corriente del agua tan sosegada, que apenas la vista siente si corre, o si está parada; si va a levante o poniente.",agua,sosegada,2
Barahona_acteon.xml,"Otra ninfa, diligente, la ropa de grana y oro le quitó liberalmente, y descubriose un tesoro más bello que el sol de Oriente: descubriose el blanco pecho, de masa celestial hecho: dos montes y una cañada de blanca nieve cuajada, y el Amor allí deshecho.",tesoro,bello,2
Barahona_acteon.xml,"Otra ninfa, diligente, la ropa de grana y oro le quitó liberalmente, y descubriose un tesoro más bello que el sol de Oriente: descubriose el blanco pecho, de masa celestial hecho: dos montes y una cañada de blanca nieve cuajada, y el Amor allí deshecho.",masa,hecho,2
Barahona_acteon.xml,"Otra ninfa, diligente, la ropa de grana y oro le quitó liberalmente, y descubriose un tesoro más bello que el sol de Oriente: descubriose el blanco pecho, de masa celestial hecho: dos montes y una cañada de blanca nieve cuajada, y el Amor allí deshecho.",montes,cuajada,7
Barahona_acteon.xml,"Dos le quitan el calzado, y un color se descubrió de leche y sangre, rosado, que cuando al suelo tocó hizo florecer el prado.",leche,rosado,4
Barahona_acteon.xml,"La pierna gruesa y ceñida a Elena dejó vencida, y el pequeño y blanco pie con un solo puntapié diera a mil Narcisos vida.",pie,pequeño,3
Barahona_acteon.xml,"Comenzaron a verter sobre aquel cuerpo divino licores, y ellos a oler, y ¡qué olor!",cuerpo,licores,2
Barahona_acteon.xml,"El viento no le alcanzaba; y el sol tan colado entraba, que su furor y su brío sólo de la peña el frío le resistía y templaba.",sol,colado,2
Barahona_acteon.xml,"Cuál dellas nadó más trecho; cuál dellas más a provecho; cuál dellas se zambulló, y cuál el lago cercó, vuelto al cielo el rostro y pecho.",nadó,trecho,2
