entity,count
Venus,106
¿,90
Marte,49
Neptuno,42
Filomena,41
Júpiter,31
Troya,28
Faetón,26
Grecia,23
Progne,22
Europa,22
Palas,20
Qué,19
Mira,16
Tajo,15
tenía,15
Etna,14
Atalanta,14
Circe,14
Allí,13
Ceres,13
Flora,13
Siringa,12
Aqueronte,10
Nilo,10
Plutón,9
Olimpo,9
Tracia,9
Talía,9
Hebro,8
Mercurio,8
Alba,8
Agamenón,8
Italia,8
España,8
Leteo,8
Amor,8
Juno,8
Atenas,8
Dafne,8
Parnaso,8
Argos,7
Después,7
Chipre,7
armonía,7
Sicilia,7
Ganges,6
Pomona,6
Cefiso,6
Doris,6
vitoria,6
Climene,6
Arabia,6
Asia,5
Tebas,5
Tifonte,5
Ida,5
Libia,5
Astrea,5
Caronte,5
Euterpe,5
Amaltea,5
Cuál,5
Egipto,5
Fenicia,4
Ninguno,4
Abido,4
Ceilán,4
Cuantas,4
Tesifonte,4
Tiro,4
Manzanares,4
Eco,4
Cartago,4
Lilibeo,4
Aquilón,4
Corinto,4
florida,4
Francia,4
Huye,4
mira,4
Atlante,4
flébil,4
Sevilla,4
mí,4
Genil,4
Averno,4
Roma,4
la tierra,4
Austro,4
Luego,3
Canté,3
Tigris,3
Ponto,3
Peloro,3
Favonio,3
Jonia,3
Miraba,3
Andrómeda,3
Vaya,3
¿Qué,3
Tifeo,3
Helicona,3
Toante,3
Triste,3
Eurídice,3
mar de Italia,3
Galatea,3
Trace,3
Jordán,3
Scila,3
Parca,3
Báratro,3
Tritón,3
Dïana,3
Tesalia,3
Ocidente,3
Colcos,3
Celos,3
Éufrates,3
Madrid,3
Amarílida,3
halcón,3
Cipria,3
Egeo,3
Áspid,3
Calabria,3
Venció,3
Castilla,3
Pigmaleón,3
Creta,3
Arcadia,3
Ésta,3
Suspende,3
Oíd,3
Liriope,3
Vence,3
Platón,3
la luna,3
Océano,3
Etiopia,3
la Luna,3
Urania,2
Micenas,2
Temerosa,2
Troncos,2
Alpes,2
Pródigo,2
Arde,2
Atento,2
Deifrida,2
Danubio,2
Melampo,2
Pactolo,2
mar undoso,2
Inaco,2
Clío,2
Eufrates,2
Menón,2
Tormes,2
reino de Plutón,2
ambrosia,2
Gozo,2
Cínaris,2
Colunas,2
Pimpla,2
Pindo,2
Betis,2
Volvió,2
Andrómaca,2
arnés,2
Entró,2
Penélopes,2
Polimnia,2
Hécuba,2
Píramo,2
Cefeo,2
Lete,2
Invierno,2
Erato,2
Negro,2
Vio,2
Telémaco,2
allí,2
Ira,2
Cintia,2
Itaca,2
Estrimón,2
Can,2
Catón,2
Zaquinto,2
Líbano,2
Alto,2
Cupidos,2
abona,2
Templa,2
Jove,2
Flegetonte,2
lima,2
Manda,2
Iba,2
Respondióle,2
Traidor,2
Delo,2
Pasó,2
Sinón,2
eritrea,2
Diga,2
Eolia,2
Cesó,2
mar Tirreno,2
paloma,2
Entre,2
Camina,2
Nonacria,2
Indo,2
Polifemo,2
Rayos,2
¿Cuál,2
Cambaya,2
