filename,person_count,loc_count
Barahona_acteon.xml,59,63
Barahona_vertumno.xml,26,27
Bermudez_narciso.xml,332,124
Bocangel_leandro.xml,115,91
Carrillo_acis.xml,19,21
Cetina_amorpsique.xml,43,29
Espinosa_genil.xml,18,24
Gongora_piramotisbe.xml,53,38
Gongora_polifemo.xml,56,58
Hurtadodemendoza_fabulaadonis.xml,54,44
Jauregui_orfeo.xml,144,84
Lope_andromeda.xml,115,81
Lope_circe.xml,490,352
Lope_filomenaprimera.xml,129,153
Lope_filomenasegunda.xml,180,153
Lope_rosa.xml,118,112
Montalban_orfeo.xml,268,208
Polo_fabapolodafne.xml,45,39
Polo_fabpansiringa.xml,21,24
Quevedo_apolo.xml,11,8
Soto_fragmentosadonis.xml,167,105
Soto_rayosfaeton.xml,213,189
Villamediana_apolodafne.xml,102,78
Villamediana_europa.xml,79,57
Villamediana_faeton.xml,191,149
Villamediana_fenix.xml,27,23
