entity,count
Sol,101
Ulises,54
Apolo,53
Adonis,47
Circe,45
Orfeo,43
Así,42
Narciso,41
Tetis,39
Eurídice,38
Febo,35
Cupido,33
Júpiter,31
jamás,29
Amor,25
Juno,23
Dafne,23
Eco,22
¿Qué,21
Vulcano,21
Alcides,18
Psique,17
Leandro,17
Polifemo,16
Penélope,16
España,15
llegó,15
Perseo,14
Nereo,14
Diana,14
Minerva,13
Baco,13
Dïana,13
Acis,13
Proserpina,13
Galatea,12
Eolo,12
Ceres,11
Neptuno,11
Himeneo,11
Medusa,10
Cefiso,10
Pan,10
Andrómeda,10
Hipómenes,10
Venus,10
Leda,9
Lisis,9
bárbaro,9
Allí,8
Helena,8
Palamedes,8
Dios,8
Liriope,8
Leonor,8
Cerbero,8
Climene,8
Rodope,8
Musa,7
Vos,7
Ninfa,7
Tiresias,7
acción,7
Cintia,6
Virgilio,6
Dijo,6
Temis,6
Marte,6
Betis,6
lloró,6
Píramo,6
Sesto,6
Aristeo,6
Filomena,6
Progne,6
Peneo,6
Flora,6
Silvio,6
Hero,6
Lágrimas,5
Calíope,5
Tisbe,5
Fineo,5
Musas,5
Corre,5
Sólo,5
Vertuno,5
Menelao,5
aquél,5
Paris,5
Pomona,5
Cibeles,5
¿Dónde,5
blanda,5
Volved,5
Más,5
Acteón,5
Glauco,4
Laertes,4
Cuánto,4
Filemo,4
Inaco,4
hará,4
Llegó,4
Quedó,4
Hércules,4
Belona,4
Citerea,4
Furias,4
Noto,4
Cíclope,4
Cleopatra,4
Partenio,4
Alejandro,4
Cuanto,4
Anteros,4
Leteo,4
Mirra,4
Discordia,4
Oceano,4
Ovidio,4
Lampecia,4
Eneas,4
Aquiles,4
Lucina,4
Latona,4
daré,4
Alma,4
Después,4
Tereo,4
Bronte,4
Briareo,3
Anfitrite,3
Carón,3
Febe,3
Hétor,3
Ave,3
Cristo,3
Desta,3
Morfeo,3
Euro,3
Euríloco,3
ningún,3
Pangeo,3
Teseo,3
Escila,3
Cinaras,3
Dánae,3
Melpómene,3
vertía,3
Yace,3
Nació,3
Clío,3
Paso,3
Cefeo,3
Sibila,3
Alas,3
Meandro,3
tordo,3
ladra,3
Albano,3
Tus,3
lloro,3
Hecho,3
Tonante,3
Fitón,3
Antifates,3
Lisandro,3
Egisto,3
dulce armonía,3
Bebió,3
Aurora,3
Nonacrina,3
Iris,3
Hermosa,3
Anticlea,3
París,3
Cintio,3
Había,3
Anquises,3
Voz,3
Faetonte,3
Orestes,3
Pegaso,3
Favonio,3
Apuleyo,3
dulce melodía,3
Ganimedes,3
Abido,2
vibró,2
Callar,2
Sale,2
Polidamante,2
Ay,2
clara,2
Lope,2
tornasoles,2
Clitemnestra,2
Midas,2
Tifeo,2
Dulces,2
¿Sabes,2
Diole,2
Dulce,2
Fortuna,2
Penteo,2
Perilo,2
Bella,2
