"","B.words.v","Freq"
"1","que",4.04804420336242
"2","de",4.04467504464135
"3","la",3.626899363229
"4","y",3.55446245072605
"5","el",2.88399986523365
"6","en",2.40557932684209
"7","a",1.91199757420572
"8","los",1.50264478959604
"9","las",1.33924059162427
"10","con",1.21963545702638
"11","del",1.11687611603383
"12","no",1.07307705265995
"13","por",1.01917051312287
"14","al",1.00232471951754
"15","su",0.9854789259122
"16","se",0.700785013982009
"17","más",0.518850443044372
"18","si",0.518850443044372
"19","le",0.4952663319969
"20","amor",0.44472895118089
"21","un",0.421144840133419
"22","como",0.399245308446481
"23","tan",0.390822411643813
"24","tu",0.384084094201678
"25","mi",0.38071493548061
