"Barahona_acteon" "Barahona_vertumno" "Bocangel_leandro" "Carrillo_acis" "Cetina_amorpsique" "Espinosa_genil" "Gongora_piramotisbe" "Gongora_polifemo" "Hurtadodemendoza_fabulaadonis" "Jauregui_orfeo" "Lope_andromeda" "Lope_circe" "Lope_filomenaprimera" "Lope_filomenasegunda" "Lope_rosa" "Montalban_orfeo" "Polo_fabapolodafne" "Polo_fabpansiringa" "Quevedo_apolo" "Soto_fragmentosadonis" "Soto_rayosfaeton" "Villamediana_apolodafne" "Villamediana_europa" "Villamediana_faeton" "Villamediana_fenix"
"de" 3.37938363443146 2.74765003615329 3.25323475046211 3.59099208764455 3.8483630097645 6.17685305591677 5.56303275011216 5.24367674275139 3.5721071632149 3.04128238910848 3.81432896064581 4.06885010757829 3.99036807705538 3.91076468216638 4.34703528555838 4.08215010141988 4.14819506016466 5.7919621749409 3.84615384615385 4.20460188710478 4.2359938911663 5.24943507735095 5.10912698412698 4.13929631962566 5.08819538670285
"que" 4.90967056323061 5.38684020245842 2.99445471349353 3.2258064516129 3.38885697874785 2.925877763329 3.72364288918798 2.80690931523751 3.15409462283869 2.51427316644708 3.65287588294652 4.11188142481473 4.3343653250774 4.20642386775971 4.1651509639869 3.73563218390805 4.62317922735909 4.1371158392435 4.03846153846154 3.80731666942559 2.70074752833374 2.52042412654267 2.7281746031746 2.85251507243769 2.95115332428765
"la" 2.48671625929862 2.92841648590022 3.80776340110906 2.25197808886184 3.90580126364159 1.88556566970091 2.82637954239569 3.79395434916718 4.19912597377921 3.80983750548968 3.97578203834511 3.38034903179536 3.62343767916523 3.78981319715092 4.05602037104402 3.61730899256254 2.08993033565548 3.13238770685579 2.69230769230769 3.40175467637808 3.45631380114139 2.31183730227707 3.14980158730159 2.98749212633852 2.64586160108548
"el" 2.99681190223167 3.2176428054953 5.08317929759704 5.05173463177115 3.38885697874785 3.18595578673602 3.58905338716913 3.48550277606416 4.14212426372791 4.49055775142732 3.02724520686176 2.81616065025102 2.8322440087146 2.72812793979304 2.18261185885777 3.40601757944557 1.74160861304623 1.83215130023641 3.07692307692308 3.25277271974839 3.70548991238646 3.14618459933948 3.17460317460317 4.46324124898767 3.29036635006784
"y" 4.84590860786397 4.98915401301518 3.3826247689464 4.26049908703591 4.192992533027 4.48634590377113 2.01884253028264 2.09747069710056 5.07315219456584 3.61220904699166 3.49142280524722 3.4568491513268 3.84130260291251 4.27361913721274 3.32848308475809 3.1947261663286 4.14819506016466 3.72340425531915 4.03846153846154 2.96308558185731 2.49176111245077 1.70345906483574 1.98412698412698 2.6455502564564 1.93351424694708
"en" 2.0403825717322 2.13304410701374 2.68022181146026 2.43457090687766 1.83802412406663 1.62548764629389 2.24315836698071 2.22085132634176 2.50807524225727 2.79973649538867 2.34106962663976 2.18503466411666 2.66024538470359 2.4190297003091 3.27391778828665 2.22278566599053 1.67827739075364 2.24586288416076 2.69230769230769 2.21817579870882 2.40334378265413 3.05927342256214 2.95138888888889 2.7265364887969 2.98507462686567
"a" 1.6365568544102 1.30151843817787 1.73752310536044 1.21728545343883 3.33141872487076 2.53576072821847 2.37774786899955 1.69648365206663 2.33707011210336 2.27272727272727 1.97780020181635 1.80253406645948 1.90345143905515 2.25776105362183 1.8915969443434 1.8762677484787 2.27992400253325 2.4822695035461 2.11538461538462 1.86227445787121 2.210433244916 1.7729880062576 2.35615079365079 1.71870781967066 1.59430122116689
"su" 0.850159404888417 0.650759219088937 1.40480591497227 1.76506390748631 1.03388856978748 0.780234070221066 1.30103185284881 1.69648365206663 0.760022800684021 2.0641194554238 0.867810292633703 0.82715754243366 1.22692351794519 0.806343233436366 1.00036376864314 1.24239350912779 0.823305889803673 0.531914893617021 2.69230769230769 1.9533189869227 1.18961498271843 1.825134712324 1.26488095238095 1.51174300368937 1.76390773405699
"los" 0.786397449521785 0.686912509038322 0.739371534195933 0.547778454047474 0.746697300402068 1.69050715214564 1.92911619560341 1.14127082048118 1.17803534106023 0.867369345630215 1.31180625630676 1.59215873774803 1.68558651530788 1.45141782018546 1.23681338668607 1.44523326572008 0.981633945535149 1.18203309692671 1.34615384615385 1.48981956629697 1.6558154489189 0.816965061706936 0.868055555555556 0.908845496265635 0.373134328358209
"no" 1.65781083953241 2.24150397686189 1.18299445471349 0.973828362751065 0.516944284893739 1.04031209362809 1.48048452220727 1.3880320789636 1.12103363100893 0.944224857268335 1.15035317860747 1.07100167344011 1.18105721820892 0.967611880123639 1.25500181884322 0.94658553076403 2.46991766941102 1.71394799054374 1.15384615384615 0.869061413673233 0.980628566835463 1.1993742395272 1.14087301587302 1.30477818770809 1.2550881953867
