,Source,Target,Weight,Type
1,Barahona_acteon,Barahona_vertumno,60,undirected
2,Barahona_acteon,Hurtadodemendoza_fabulaadonis,25,undirected
3,Barahona_acteon,Lope_circe,16,undirected
4,Barahona_acteon,Lope_filomenaprimera,1,undirected
5,Barahona_acteon,Polo_fabapolodafne,3,undirected
6,Barahona_acteon,Polo_fabpansiringa,8,undirected
7,Barahona_vertumno,Barahona_acteon,60,undirected
8,Barahona_vertumno,Cetina_amorpsique,6,undirected
9,Barahona_vertumno,Hurtadodemendoza_fabulaadonis,1,undirected
10,Barahona_vertumno,Lope_circe,14,undirected
11,Barahona_vertumno,Lope_filomenasegunda,4,undirected
12,Barahona_vertumno,Polo_fabapolodafne,27,undirected
13,Barahona_vertumno,Polo_fabpansiringa,2,undirected
14,Bocangel_leandro,Carrillo_acis,2,undirected
15,Bocangel_leandro,Jauregui_orfeo,58,undirected
16,Bocangel_leandro,Lope_circe,16,undirected
17,Bocangel_leandro,Lope_filomenaprimera,6,undirected
18,Bocangel_leandro,Soto_rayosfaeton,7,undirected
19,Bocangel_leandro,Villamediana_faeton,1,undirected
20,Carrillo_acis,Bocangel_leandro,2,undirected
21,Carrillo_acis,Gongora_piramotisbe,10,undirected
22,Carrillo_acis,Jauregui_orfeo,11,undirected
23,Carrillo_acis,Lope_circe,6,undirected
24,Carrillo_acis,Montalban_orfeo,3,undirected
25,Carrillo_acis,Soto_fragmentosadonis,16,undirected
26,Carrillo_acis,Soto_rayosfaeton,9,undirected
27,Carrillo_acis,Villamediana_faeton,3,undirected
28,Cetina_amorpsique,Barahona_vertumno,6,undirected
29,Cetina_amorpsique,Gongora_piramotisbe,18,undirected
30,Cetina_amorpsique,Hurtadodemendoza_fabulaadonis,3,undirected
31,Cetina_amorpsique,Lope_circe,2,undirected
32,Cetina_amorpsique,Soto_fragmentosadonis,13,undirected
33,Cetina_amorpsique,Soto_rayosfaeton,18,undirected
34,Espinosa_genil,Gongora_piramotisbe,8,undirected
35,Espinosa_genil,Lope_circe,9,undirected
36,Espinosa_genil,Lope_filomenasegunda,6,undirected
37,Espinosa_genil,Montalban_orfeo,1,undirected
38,Espinosa_genil,Polo_fabpansiringa,16,undirected
39,Espinosa_genil,Quevedo_apolo,5,undirected
40,Espinosa_genil,Soto_rayosfaeton,20,undirected
41,Gongora_piramotisbe,Carrillo_acis,10,undirected
42,Gongora_piramotisbe,Cetina_amorpsique,18,undirected
43,Gongora_piramotisbe,Espinosa_genil,8,undirected
44,Gongora_piramotisbe,Gongora_polifemo,50,undirected
45,Gongora_piramotisbe,Lope_circe,3,undirected
46,Gongora_piramotisbe,Polo_fabapolodafne,6,undirected
47,Gongora_piramotisbe,Polo_fabpansiringa,30,undirected
48,Gongora_piramotisbe,Quevedo_apolo,20,undirected
49,Gongora_piramotisbe,Soto_fragmentosadonis,2,undirected
50,Gongora_piramotisbe,Soto_rayosfaeton,15,undirected
